year,farm_resource_region,crop,stat,estimate
1996,Basin and Range,Wheat,incfi,45590
1996,Basin and Range,Other Field Crops,incfi,631
1996,Basin and Range,"Specialty Crops (F,V,N)",incfi,31868
1996,Basin and Range,General Cash Grains,incfi,12529
1996,Basin and Range,Corn,incfi,NA
1997,Basin and Range,Wheat,incfi,24782
1997,Basin and Range,Corn,incfi,NA
1997,Basin and Range,Other Field Crops,incfi,NA
1997,Basin and Range,"Specialty Crops (F,V,N)",incfi,NA
1997,Basin and Range,General Cash Grains,incfi,6730
1998,Basin and Range,Wheat,incfi,22777
1998,Basin and Range,"Specialty Crops (F,V,N)",incfi,187844
1998,Basin and Range,General Cash Grains,incfi,30119
1998,Basin and Range,Corn,incfi,NA
1998,Basin and Range,Other Field Crops,incfi,895
1999,Basin and Range,General Cash Grains,incfi,24790
1999,Basin and Range,"Specialty Crops (F,V,N)",incfi,107582
1999,Basin and Range,Wheat,incfi,22506
1999,Basin and Range,Corn,incfi,NA
1999,Basin and Range,"Tobacco, Cotton, Peanuts",incfi,NA
1999,Basin and Range,Other Field Crops,incfi,-1254
2000,Basin and Range,General Cash Grains,incfi,47493
2000,Basin and Range,Wheat,incfi,60513
2000,Basin and Range,Other Field Crops,incfi,4802
2000,Basin and Range,"Specialty Crops (F,V,N)",incfi,38849
2001,Basin and Range,General Cash Grains,incfi,NA
2001,Basin and Range,Wheat,incfi,43920
2001,Basin and Range,Corn,incfi,NA
2001,Basin and Range,Other Field Crops,incfi,3585
2001,Basin and Range,"Specialty Crops (F,V,N)",incfi,109955
2002,Basin and Range,Wheat,incfi,37455
2002,Basin and Range,"Specialty Crops (F,V,N)",incfi,118183
2002,Basin and Range,General Cash Grains,incfi,NA
2002,Basin and Range,Other Field Crops,incfi,6073
2003,Basin and Range,General Cash Grains,incfi,41882
2003,Basin and Range,Wheat,incfi,86713
2003,Basin and Range,"Specialty Crops (F,V,N)",incfi,98448
2003,Basin and Range,Corn,incfi,NA
2003,Basin and Range,"Tobacco, Cotton, Peanuts",incfi,NA
2003,Basin and Range,Other Field Crops,incfi,8317
2004,Basin and Range,Wheat,incfi,34507
2004,Basin and Range,Other Field Crops,incfi,-254
2004,Basin and Range,"Specialty Crops (F,V,N)",incfi,20668
2004,Basin and Range,General Cash Grains,incfi,4535
2005,Basin and Range,General Cash Grains,incfi,-9720
2005,Basin and Range,Corn,incfi,NA
2005,Basin and Range,"Specialty Crops (F,V,N)",incfi,25635
2005,Basin and Range,Wheat,incfi,74065
2005,Basin and Range,Other Field Crops,incfi,12119
2006,Basin and Range,Wheat,incfi,82051
2006,Basin and Range,"Specialty Crops (F,V,N)",incfi,19305
2006,Basin and Range,General Cash Grains,incfi,15734
2006,Basin and Range,Corn,incfi,NA
2006,Basin and Range,Other Field Crops,incfi,5728
2007,Basin and Range,General Cash Grains,incfi,417358
2007,Basin and Range,"Specialty Crops (F,V,N)",incfi,29653
2007,Basin and Range,Wheat,incfi,48991
2007,Basin and Range,Other Field Crops,incfi,12418
2008,Basin and Range,Other Field Crops,incfi,12088
2008,Basin and Range,General Cash Grains,incfi,82611
2008,Basin and Range,Wheat,incfi,142440
2008,Basin and Range,"Specialty Crops (F,V,N)",incfi,76612
2009,Basin and Range,General Cash Grains,incfi,50957
2009,Basin and Range,Wheat,incfi,94712
2009,Basin and Range,Corn,incfi,NA
2009,Basin and Range,Other Field Crops,incfi,NA
2009,Basin and Range,"Specialty Crops (F,V,N)",incfi,21263
2010,Basin and Range,Wheat,incfi,142085
2010,Basin and Range,Other Field Crops,incfi,7931
2010,Basin and Range,"Specialty Crops (F,V,N)",incfi,42146
2010,Basin and Range,General Cash Grains,incfi,84860
2010,Basin and Range,Corn,incfi,NA
2011,Basin and Range,Wheat,incfi,143380
2011,Basin and Range,Corn,incfi,NA
2011,Basin and Range,General Cash Grains,incfi,98707
2011,Basin and Range,Other Field Crops,incfi,16711
2011,Basin and Range,"Specialty Crops (F,V,N)",incfi,40147
2012,Basin and Range,Other Field Crops,incfi,8189
2012,Basin and Range,"Specialty Crops (F,V,N)",incfi,9236
2012,Basin and Range,General Cash Grains,incfi,62257
2012,Basin and Range,Wheat,incfi,203566
2012,Basin and Range,Corn,incfi,NA
2013,Basin and Range,General Cash Grains,incfi,41825
2013,Basin and Range,Wheat,incfi,178220
2013,Basin and Range,Other Field Crops,incfi,22969
2013,Basin and Range,"Specialty Crops (F,V,N)",incfi,70827
2013,Basin and Range,Corn,incfi,NA
2014,Basin and Range,Wheat,incfi,214710
2014,Basin and Range,Corn,incfi,NA
2014,Basin and Range,Other Field Crops,incfi,7272
2014,Basin and Range,General Cash Grains,incfi,-57204
2014,Basin and Range,"Specialty Crops (F,V,N)",incfi,54558
2015,Basin and Range,General Cash Grains,incfi,NA
2015,Basin and Range,Wheat,incfi,34230
2015,Basin and Range,Corn,incfi,NA
2015,Basin and Range,Other Field Crops,incfi,19021
2015,Basin and Range,"Specialty Crops (F,V,N)",incfi,67381
2016,Basin and Range,General Cash Grains,incfi,70909
2016,Basin and Range,Wheat,incfi,59043
2016,Basin and Range,Corn,incfi,NA
2016,Basin and Range,Other Field Crops,incfi,9619
2016,Basin and Range,"Specialty Crops (F,V,N)",incfi,68946
2017,Basin and Range,Corn,incfi,NA
2017,Basin and Range,Soybean,incfi,NA
2017,Basin and Range,General Cash Grains,incfi,48587
2017,Basin and Range,Wheat,incfi,112485
2017,Basin and Range,Other Field Crops,incfi,24198
2017,Basin and Range,"Specialty Crops (F,V,N)",incfi,58853
2018,Basin and Range,"Specialty Crops (F,V,N)",incfi,63534
2018,Basin and Range,General Cash Grains,incfi,NA
2018,Basin and Range,Wheat,incfi,222452
2018,Basin and Range,Other Field Crops,incfi,16344
1996,Eastern Uplands,General Cash Grains,incfi,24421
1996,Eastern Uplands,Wheat,incfi,NA
1996,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,11772
1996,Eastern Uplands,Corn,incfi,-5461
1996,Eastern Uplands,Soybean,incfi,30681
1996,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,2079
1996,Eastern Uplands,Other Field Crops,incfi,-1276
1997,Eastern Uplands,Wheat,incfi,NA
1997,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,7776
1997,Eastern Uplands,General Cash Grains,incfi,NA
1997,Eastern Uplands,Corn,incfi,-3117
1997,Eastern Uplands,Soybean,incfi,4612
1997,Eastern Uplands,Other Field Crops,incfi,-4665
1997,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,15584
1998,Eastern Uplands,Wheat,incfi,NA
1998,Eastern Uplands,Soybean,incfi,-2610
1998,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,8301
1998,Eastern Uplands,General Cash Grains,incfi,-20396
1998,Eastern Uplands,Corn,incfi,27186
1998,Eastern Uplands,Other Field Crops,incfi,-2772
1998,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,30607
1999,Eastern Uplands,Wheat,incfi,NA
1999,Eastern Uplands,Soybean,incfi,NA
1999,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,10755
1999,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,13401
1999,Eastern Uplands,General Cash Grains,incfi,-17266
1999,Eastern Uplands,Corn,incfi,NA
1999,Eastern Uplands,Other Field Crops,incfi,-2567
2000,Eastern Uplands,General Cash Grains,incfi,20646
2000,Eastern Uplands,Wheat,incfi,NA
2000,Eastern Uplands,Soybean,incfi,-3941
2000,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,9602
2000,Eastern Uplands,Other Field Crops,incfi,-4581
2000,Eastern Uplands,Corn,incfi,NA
2000,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,5182
2001,Eastern Uplands,Soybean,incfi,NA
2001,Eastern Uplands,General Cash Grains,incfi,88657
2001,Eastern Uplands,Wheat,incfi,NA
2001,Eastern Uplands,Corn,incfi,NA
2001,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,16568
2001,Eastern Uplands,Other Field Crops,incfi,1847
2001,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,11478
2002,Eastern Uplands,Wheat,incfi,NA
2002,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,63398
2002,Eastern Uplands,General Cash Grains,incfi,6275
2002,Eastern Uplands,Corn,incfi,42419
2002,Eastern Uplands,Soybean,incfi,4842
2002,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,7480
2002,Eastern Uplands,Other Field Crops,incfi,-2798
2003,Eastern Uplands,Wheat,incfi,NA
2003,Eastern Uplands,Soybean,incfi,32244
2003,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,12160
2003,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,46592
2003,Eastern Uplands,General Cash Grains,incfi,140728
2003,Eastern Uplands,Corn,incfi,6311
2003,Eastern Uplands,Other Field Crops,incfi,-339
2004,Eastern Uplands,Soybean,incfi,44194
2004,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,8785
2004,Eastern Uplands,Other Field Crops,incfi,-3254
2004,Eastern Uplands,General Cash Grains,incfi,80783
2004,Eastern Uplands,Corn,incfi,30011
2004,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,30506
2005,Eastern Uplands,General Cash Grains,incfi,65267
2005,Eastern Uplands,Soybean,incfi,9557
2005,Eastern Uplands,Other Field Crops,incfi,-4755
2005,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,60044
2005,Eastern Uplands,Corn,incfi,79040
2005,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,16464
2006,Eastern Uplands,Wheat,incfi,NA
2006,Eastern Uplands,Soybean,incfi,15679
2006,Eastern Uplands,"Tobacco, Cotton, Peanuts",incfi,18051
2006,Eastern Uplands,Other Field Crops,incfi,2335
2006,Eastern Uplands,"Specialty Crops (F,V,N)",incfi,17718
2006,Eastern Uplands,General Cash Grains,incfi,37401
2006,Eastern Uplands,Corn,incfi,25008
2007,Eastern Uplands,General Cash Grains,incfi,74425
2007,Eastern Uplands,Corn,incfi,37473
